0.3,NaN
0.35,2
0.64,37
0.74,54
0.8,62
0.83,66
0.97,80
1.03,83
1.31,90
0.21,4
0.26,8
0.39,13
0.21,10
0.26,11
0.39,11
0.21,3
0.26,NaN
0.39,1
0.25,NaN
0.55,15
0.25,NaN
0.55,14
0.25,NaN
0.55,14
0.89,41
0.98,49
1.03,56
0.89,52
0.98,58
1.03,61
