isotopologue,12,13,14,15,16,17,18,19,20
CH4,0.008564637,0.032738847,0.081785848,0.39788412,0.471990888,0.00703566,0,0,0
CH3D,0.006999275,0.017452914,0.038505792,0.096394057,0.348169748,0.485082301,0.007395912,0,0
CH2D2,0.006303146,0.009519083,0.02443861,0.043694479,0.13386506,0.29756356,0.478111246,0.00646325,4.15662E-05
CHD3,0.005884796,0.003849684,0.022104119,0.021299611,0.042629369,0.207461569,0.226078947,0.466726572,0.003965335
CD4,0.004604222,0,0.026572987,0,0.061750177,0,0.405270003,0.002942535,0.498860076
